"Dominant_Topic","Percentage_Contribution","Topic_Keywords","Project_ID","Project_Title","Project_Status","Focus_Area","Sector","Subector","Region"
8,0.9879999757,"0.008*\"unterstützen\" + 0.007*\"umsetzung\" + 0.007*\"regierung\" + 0.006*\"national\" + 0.005*\"bevölkerung\" + 0.005*\"verbesserung\" + 0.005*\"kolumbianisch\" + 0.005*\"reform\" + 0.004*\"unterstützung\" + 0.004*\"leisten\"",19665,"Stauwehr und WKW Assiut (Inv.)","aktiv","Ernährung und Landwirtschaft","""310 - Landwirtschaft, Forstwirtschaft und Fischereiwesen""","31140 - Landwirtschaftliche Wasserressourcen","Nordafrika/Naher Osten"
4,0.627300024,"0.015*\"nachhaltig\" + 0.010*\"bevölkerung\" + 0.006*\"ressource\" + 0.006*\"natürlich\" + 0.006*\"investition\" + 0.006*\"leisten\" + 0.006*\"finanzierung\" + 0.006*\"schutz\" + 0.006*\"national\" + 0.005*\"lokal\"",19900,"Umweltschutzprogramm Shkodra-See","abgeschlossen","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","""14020 - Wasser-, Sanitärver. und Abwassermanagement""","Europa/Kaukasus"
7,0.4250000119,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",20226,"KfW-Treuhandbeteiligung an der Mikrofinanzbank (THB)","aktiv","Wirtschaft und Finanzsektor","240 - Finanzwesen","24030 - Finanzintermediäre des formellen Sektors","Asien/Ozeanien"
9,0.6776999831,"0.005*\"finanzierung\" + 0.005*\"zugang\" + 0.004*\"privat\" + 0.004*\"entwicklung\" + 0.004*\"unternehmen\" + 0.004*\"ausbildung\" + 0.004*\"investition\" + 0.004*\"mef\" + 0.004*\"leisten\" + 0.004*\"land\"",20596,"Programm Energieeffizienz","abgeschlossen","Umwelt und Klima","""230 - Energieerzeugung, -verteilung und -effizienz""","23320 - Kohlekraftwerke","Asien/Ozeanien"
4,0.9911999702,"0.015*\"nachhaltig\" + 0.010*\"bevölkerung\" + 0.006*\"ressource\" + 0.006*\"natürlich\" + 0.006*\"investition\" + 0.006*\"leisten\" + 0.006*\"finanzierung\" + 0.006*\"schutz\" + 0.006*\"national\" + 0.005*\"lokal\"",20878,"Industriekläranlagen","aktiv","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","14022 - Sanitärversorgung und Abwassermanagement -g","Nordafrika/Naher Osten"
5,0.5523999929,"0.009*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.006*\"leisten\" + 0.006*\"nachhaltig\" + 0.006*\"ländlich\" + 0.005*\"national\" + 0.005*\"energie\" + 0.005*\"unterstützen\" + 0.005*\"land\" + 0.005*\"öffentlich\"",21002,"Wasser-/Abwasserprogramm Palästinensisches Gebiet","abgeschlossen","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","""14020 - Wasser-, Sanitärver. und Abwassermanagement""","Nordafrika/Naher Osten"
5,0.5144000053,"0.009*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.006*\"leisten\" + 0.006*\"nachhaltig\" + 0.006*\"ländlich\" + 0.005*\"national\" + 0.005*\"energie\" + 0.005*\"unterstützen\" + 0.005*\"land\" + 0.005*\"öffentlich\"",21082,"Programm kommunale Infrastruktur IV (IVF) (Inv.)","aktiv","Wasser und Abfall","430 - Andere multisektorale Maßnahmen","43030 - Stadtentwicklung und -verwaltung","Europa/Kaukasus"
6,0.9873999953,"0.007*\"bevölkerung\" + 0.006*\"verbesserung\" + 0.005*\"distrikt\" + 0.005*\"lokal\" + 0.005*\"nachhaltig\" + 0.005*\"leisten\" + 0.004*\"umsetzung\" + 0.004*\"finanzieren\" + 0.004*\"unterstützen\" + 0.004*\"stärken\"",21090,"Städtische Wasserversorgung Sekundärstädte I (Inv.)","aktiv","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","""14030 - Trinkwasser, Sanitär u Abwasser-Grundl Vers""","Afrika Subsahara"
10,0.5325000286,"0.019*\"flüchtling\" + 0.010*\"zugang\" + 0.009*\"gemeinde\" + 0.009*\"sozial\" + 0.008*\"bevölkerung\" + 0.007*\"syrisch\" + 0.007*\"verbesserung\" + 0.007*\"aufnehmend\" + 0.006*\"infrastruktur\" + 0.005*\"libanon\"",21270,"FZ-Förderbeteiligung ADVANS S.A. SICAR","aktiv","Wirtschaft und Finanzsektor","240 - Finanzwesen","24030 - Finanzintermediäre des formellen Sektors","Global"
5,0.866599977,"0.009*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.006*\"leisten\" + 0.006*\"nachhaltig\" + 0.006*\"ländlich\" + 0.005*\"national\" + 0.005*\"energie\" + 0.005*\"unterstützen\" + 0.005*\"land\" + 0.005*\"öffentlich\"",21563,"Unterstützung des internationalen AIDS-Bekämpfungsprogramms","abgeschlossen","Gesundheit","130 - Bevölkerungspolitik/-programme u. repd. Gesundheit","13040 - Bekämpf. von Geschlechtskrankheiten u. HIV/AIDS","Lateinamerika"
4,0.9865999818,"0.015*\"nachhaltig\" + 0.010*\"bevölkerung\" + 0.006*\"ressource\" + 0.006*\"natürlich\" + 0.006*\"investition\" + 0.006*\"leisten\" + 0.006*\"finanzierung\" + 0.006*\"schutz\" + 0.006*\"national\" + 0.005*\"lokal\"",21596,"Kommunale Umweltinvestitionen","abgeschlossen","Wasser und Abfall","430 - Andere multisektorale Maßnahmen","43030 - Stadtentwicklung und -verwaltung","Afrika Subsahara"
1,0.6171000004,"0.012*\"stadt\" + 0.010*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.008*\"finanzieren\" + 0.007*\"abwasserentsorgung\" + 0.006*\"krankenhaus\" + 0.006*\"kläranlage\" + 0.006*\"wasser\" + 0.005*\"national\" + 0.005*\"investition\"",21622,"""Umweltpolitik, Ressourcenschutz: Fischereiüberwachung V""","aktiv","Umwelt und Klima","""310 - Landwirtschaft, Forstwirtschaft und Fischereiwesen""","31310 - Fischereipolitik und -verwaltung","Afrika Subsahara"
5,0.4178000093,"0.009*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.006*\"leisten\" + 0.006*\"nachhaltig\" + 0.006*\"ländlich\" + 0.005*\"national\" + 0.005*\"energie\" + 0.005*\"unterstützen\" + 0.005*\"land\" + 0.005*\"öffentlich\"",21722,"WV und AE Progr. Mazedonien (VP) (Inv.)","aktiv","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","""14020 - Wasser-, Sanitärver. und Abwassermanagement""","Europa/Kaukasus"
10,0.5527999997,"0.019*\"flüchtling\" + 0.010*\"zugang\" + 0.009*\"gemeinde\" + 0.009*\"sozial\" + 0.008*\"bevölkerung\" + 0.007*\"syrisch\" + 0.007*\"verbesserung\" + 0.007*\"aufnehmend\" + 0.006*\"infrastruktur\" + 0.005*\"libanon\"",21977,"Gründung einer Mikrofinanzbank in der DR Kongo (Treuhandmittel)","aktiv","Wirtschaft und Finanzsektor","240 - Finanzwesen","24030 - Finanzintermediäre des formellen Sektors","Afrika Subsahara"
10,0.4851000011,"0.019*\"flüchtling\" + 0.010*\"zugang\" + 0.009*\"gemeinde\" + 0.009*\"sozial\" + 0.008*\"bevölkerung\" + 0.007*\"syrisch\" + 0.007*\"verbesserung\" + 0.007*\"aufnehmend\" + 0.006*\"infrastruktur\" + 0.005*\"libanon\"",21978,"Mikrofinanzierung II (KfW-Treuhandmittel)","aktiv","Wirtschaft und Finanzsektor","240 - Finanzwesen","24030 - Finanzintermediäre des formellen Sektors","Afrika Subsahara"
6,0.9890000224,"0.007*\"bevölkerung\" + 0.006*\"verbesserung\" + 0.005*\"distrikt\" + 0.005*\"lokal\" + 0.005*\"nachhaltig\" + 0.005*\"leisten\" + 0.004*\"umsetzung\" + 0.004*\"finanzieren\" + 0.004*\"unterstützen\" + 0.004*\"stärken\"",22126,"Kaukasus Energieverbund I (Übertragungsleitungen Armenien-Georgien/Umspannstationen)","aktiv","Energie","""230 - Energieerzeugung, -verteilung und -effizienz""","""23630 - Stromübertragung, -verteilung u. Speicher""","Europa/Kaukasus"
7,0.4521999955,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",22168,"Mikrofinanzierungsprogramm (THB)","abgeschlossen","Wirtschaft und Finanzsektor","240 - Finanzwesen","24040 - Informelle und halbformelle Finanzintermediäre","Asien/Ozeanien"
8,0.9510999918,"0.008*\"unterstützen\" + 0.007*\"umsetzung\" + 0.007*\"regierung\" + 0.006*\"national\" + 0.005*\"bevölkerung\" + 0.005*\"verbesserung\" + 0.005*\"kolumbianisch\" + 0.005*\"reform\" + 0.004*\"unterstützung\" + 0.004*\"leisten\"",22226,"Unterstützung der Reintegration von Ex-Kombattanten und Flüchtlingen II","aktiv","Friedensentwicklung und Krisenprävention","150 - Staat und Zivilgesellschaft","""15220 - Zivile Friedensentwicklung, Krisenpräv. u. Kon""","Afrika Subsahara"
4,0.9916999936,"0.015*\"nachhaltig\" + 0.010*\"bevölkerung\" + 0.006*\"ressource\" + 0.006*\"natürlich\" + 0.006*\"investition\" + 0.006*\"leisten\" + 0.006*\"finanzierung\" + 0.006*\"schutz\" + 0.006*\"national\" + 0.005*\"lokal\"",22260,"Verbundfinanzierungsvorhaben \"Investitionsfonds Abfallverwertung\"","aktiv","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","14050 - Abfallwirtschaft und -entsorgung","Nordafrika/Naher Osten"
3,0.5525000095,"0.011*\"kind\" + 0.007*\"finanzierung\" + 0.007*\"verbesserung\" + 0.006*\"lokal\" + 0.006*\"zugang\" + 0.005*\"leisten\" + 0.005*\"komponente\" + 0.005*\"bevölkerung\" + 0.004*\"jugendlich\" + 0.004*\"sozial\"",22262,"FZ-Förderkredit für den Emerging Africa Infrastructure Fund (EAIF)","abgeschlossen","Energie","240 - Finanzwesen","24030 - Finanzintermediäre des formellen Sektors","Afrika Subsahara"
1,0.9825000167,"0.012*\"stadt\" + 0.010*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.008*\"finanzieren\" + 0.007*\"abwasserentsorgung\" + 0.006*\"krankenhaus\" + 0.006*\"kläranlage\" + 0.006*\"wasser\" + 0.005*\"national\" + 0.005*\"investition\"",22267,"Trinkwasserversorgung II","aktiv","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","14021 - Wasserversorgung - große Systeme","Nordafrika/Naher Osten"
5,0.6782000065,"0.009*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.006*\"leisten\" + 0.006*\"nachhaltig\" + 0.006*\"ländlich\" + 0.005*\"national\" + 0.005*\"energie\" + 0.005*\"unterstützen\" + 0.005*\"land\" + 0.005*\"öffentlich\"",22280,"Ländliche Entw. in Gebieten mit besonderem Förderungsbedarf","abgeschlossen","Sonstige","430 - Andere multisektorale Maßnahmen","43010 - Multisektorale Hilfe","Afrika Subsahara"
7,0.6870999932,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",22357,"Bewässerungsprogramm Wasser und Klimawandel","aktiv","Ernährung und Landwirtschaft","""310 - Landwirtschaft, Forstwirtschaft und Fischereiwesen""","31140 - Landwirtschaftliche Wasserressourcen","Lateinamerika"
3,0.9926999807,"0.011*\"kind\" + 0.007*\"finanzierung\" + 0.007*\"verbesserung\" + 0.006*\"lokal\" + 0.006*\"zugang\" + 0.005*\"leisten\" + 0.005*\"komponente\" + 0.005*\"bevölkerung\" + 0.004*\"jugendlich\" + 0.004*\"sozial\"",22679,"TCX Lokalwährungsfonds (ehem. CAPCO)","aktiv","Wirtschaft und Finanzsektor","240 - Finanzwesen","24030 - Finanzintermediäre des formellen Sektors","Global"
4,0.9872000217,"0.015*\"nachhaltig\" + 0.010*\"bevölkerung\" + 0.006*\"ressource\" + 0.006*\"natürlich\" + 0.006*\"investition\" + 0.006*\"leisten\" + 0.006*\"finanzierung\" + 0.006*\"schutz\" + 0.006*\"national\" + 0.005*\"lokal\"",22711,"Investitionsfonds Nationalparks Madagaskar II (MNP II)","abgeschlossen","Umwelt und Klima","410 - Umweltschutz allgemein","41030 - Biodiversität","Afrika Subsahara"
7,0.9918000102,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",22891,"Klima- und Energieprogramm China (IVF)","abgeschlossen","Umwelt und Klima","410 - Umweltschutz allgemein","41020 - Schutz der Biosphäre","Asien/Ozeanien"
5,0.9825000167,"0.009*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.006*\"leisten\" + 0.006*\"nachhaltig\" + 0.006*\"ländlich\" + 0.005*\"national\" + 0.005*\"energie\" + 0.005*\"unterstützen\" + 0.005*\"land\" + 0.005*\"öffentlich\"",22910,"""Schwerpunktprogramm Gesundheit \""Komponente Mutter-Kind-Versorgung und Notfallmedizin\"", Phase II - Investition-""","aktiv","Gesundheit","120 - Gesundheitswesen","12230 - Infrastruktur im Bereich Basisgesundheit","Asien/Ozeanien"
5,0.8718000054,"0.009*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.006*\"leisten\" + 0.006*\"nachhaltig\" + 0.006*\"ländlich\" + 0.005*\"national\" + 0.005*\"energie\" + 0.005*\"unterstützen\" + 0.005*\"land\" + 0.005*\"öffentlich\"",22941,"Programm Stadtentwicklung 2008","aktiv","Sonstige","430 - Andere multisektorale Maßnahmen","43030 - Stadtentwicklung und -verwaltung","Asien/Ozeanien"
5,0.8687000275,"0.009*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.006*\"leisten\" + 0.006*\"nachhaltig\" + 0.006*\"ländlich\" + 0.005*\"national\" + 0.005*\"energie\" + 0.005*\"unterstützen\" + 0.005*\"land\" + 0.005*\"öffentlich\"",22948,"Abwasser- und Abfallentsorgung in Provinzstädten 2008","aktiv","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","""14020 - Wasser-, Sanitärver. und Abwassermanagement""","Asien/Ozeanien"
3,0.67900002,"0.011*\"kind\" + 0.007*\"finanzierung\" + 0.007*\"verbesserung\" + 0.006*\"lokal\" + 0.006*\"zugang\" + 0.005*\"leisten\" + 0.005*\"komponente\" + 0.005*\"bevölkerung\" + 0.004*\"jugendlich\" + 0.004*\"sozial\"",23006,"Überregionale Fazilität Erneuerbare Energien und Energieeffizienz SOE","aktiv","Energie","""230 - Energieerzeugung, -verteilung und -effizienz""","""23210 - Energieerzeugung, erneuerbare Quellen""","Europa/Kaukasus"
9,0.7700999975,"0.005*\"finanzierung\" + 0.005*\"zugang\" + 0.004*\"privat\" + 0.004*\"entwicklung\" + 0.004*\"unternehmen\" + 0.004*\"ausbildung\" + 0.004*\"investition\" + 0.004*\"mef\" + 0.004*\"leisten\" + 0.004*\"land\"",23013,"Programm zur Unterstützung der Sektorstrategie städtische Wasserver- und Sanitärversorgung (Korbfinanzierung)","aktiv","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","""14020 - Wasser-, Sanitärver. und Abwassermanagement""","Afrika Subsahara"
4,0.9937000275,"0.015*\"nachhaltig\" + 0.010*\"bevölkerung\" + 0.006*\"ressource\" + 0.006*\"natürlich\" + 0.006*\"investition\" + 0.006*\"leisten\" + 0.006*\"finanzierung\" + 0.006*\"schutz\" + 0.006*\"national\" + 0.005*\"lokal\"",23023,"Wasserkraft und Dammsicherheit Mat-Drin-Kaskade","aktiv","Energie","""230 - Energieerzeugung, -verteilung und -effizienz""","23220 - Wasserkraftwerke","Europa/Kaukasus"
7,0.4851999879,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",23087,"Regenerative Energien / Energieeffizienz","abgeschlossen","Energie","""230 - Energieerzeugung, -verteilung und -effizienz""","""23210 - Energieerzeugung, erneuerbare Quellen""","Lateinamerika"
7,0.4993999898,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",23090,"Erneuerbare Energien und Energieeffizienz","aktiv","Energie","""230 - Energieerzeugung, -verteilung und -effizienz""","""23210 - Energieerzeugung, erneuerbare Quellen""","Lateinamerika"
7,0.725300014,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",23122,"Programm Energieeffizienz","aktiv","Energie","""230 - Energieerzeugung, -verteilung und -effizienz""","23183 - Energieeffizienz (nachfrageseitig)","Nordafrika/Naher Osten"
1,0.9828000069,"0.012*\"stadt\" + 0.010*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.008*\"finanzieren\" + 0.007*\"abwasserentsorgung\" + 0.006*\"krankenhaus\" + 0.006*\"kläranlage\" + 0.006*\"wasser\" + 0.005*\"national\" + 0.005*\"investition\"",23138,"""Unterstützung des nationalen Abwasserprogramms, Phase II""","aktiv","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","""14030 - Trinkwasser, Sanitär u Abwasser-Grundl Vers""","Nordafrika/Naher Osten"
8,0.8521000147,"0.008*\"unterstützen\" + 0.007*\"umsetzung\" + 0.007*\"regierung\" + 0.006*\"national\" + 0.005*\"bevölkerung\" + 0.005*\"verbesserung\" + 0.005*\"kolumbianisch\" + 0.005*\"reform\" + 0.004*\"unterstützung\" + 0.004*\"leisten\"",23173,"Nachhaltige Naturschutzfinanzierung Amazonasbecken (OTCA)","aktiv","Umwelt und Klima","410 - Umweltschutz allgemein","41030 - Biodiversität","Lateinamerika"
4,0.9912999868,"0.015*\"nachhaltig\" + 0.010*\"bevölkerung\" + 0.006*\"ressource\" + 0.006*\"natürlich\" + 0.006*\"investition\" + 0.006*\"leisten\" + 0.006*\"finanzierung\" + 0.006*\"schutz\" + 0.006*\"national\" + 0.005*\"lokal\"",23527,"Investitionsfonds Abfallverwertung Zuschuss (Investitionszuschuss)","aktiv","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","14050 - Abfallwirtschaft und -entsorgung","Nordafrika/Naher Osten"
5,0.472299993,"0.009*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.006*\"leisten\" + 0.006*\"nachhaltig\" + 0.006*\"ländlich\" + 0.005*\"national\" + 0.005*\"energie\" + 0.005*\"unterstützen\" + 0.005*\"land\" + 0.005*\"öffentlich\"",23559,"Verbundfinanzierungsvorhaben \"Abwasserentsorgung ländliche Zentren III Phase 2\"","aktiv","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","""14020 - Wasser-, Sanitärver. und Abwassermanagement""","Nordafrika/Naher Osten"
5,0.6341999769,"0.009*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.006*\"leisten\" + 0.006*\"nachhaltig\" + 0.006*\"ländlich\" + 0.005*\"national\" + 0.005*\"energie\" + 0.005*\"unterstützen\" + 0.005*\"land\" + 0.005*\"öffentlich\"",23661,"Geothermieprogramm","aktiv","Umwelt und Klima","""230 - Energieerzeugung, -verteilung und -effizienz""","23260 - Erdwärme (Strom u. Wärme)","Asien/Ozeanien"
5,0.9240999818,"0.009*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.006*\"leisten\" + 0.006*\"nachhaltig\" + 0.006*\"ländlich\" + 0.005*\"national\" + 0.005*\"energie\" + 0.005*\"unterstützen\" + 0.005*\"land\" + 0.005*\"öffentlich\"",23689,"Mischfinanzierung \"Energiesektorprogramm III\"","aktiv","Energie","""230 - Energieerzeugung, -verteilung und -effizienz""","""23210 - Energieerzeugung, erneuerbare Quellen""","Europa/Kaukasus"
4,0.4472000003,"0.015*\"nachhaltig\" + 0.010*\"bevölkerung\" + 0.006*\"ressource\" + 0.006*\"natürlich\" + 0.006*\"investition\" + 0.006*\"leisten\" + 0.006*\"finanzierung\" + 0.006*\"schutz\" + 0.006*\"national\" + 0.005*\"lokal\"",23763,"Schutzgebietsförderung Aserbaidschan - Ökoregionales Programm","aktiv","Umwelt und Klima","410 - Umweltschutz allgemein","41030 - Biodiversität","Europa/Kaukasus"
7,0.5868999958,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",23871,"Mikrofinanzdienstleistungen im ländl. Raum","abgeschlossen","Wirtschaft und Finanzsektor","240 - Finanzwesen","24030 - Finanzintermediäre des formellen Sektors","Asien/Ozeanien"
7,0.9347000122,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",23980,"Förderung erneuerbarer Energien in Westafrika","aktiv","Energie","""230 - Energieerzeugung, -verteilung und -effizienz""","""23630 - Stromübertragung, -verteilung u. Speicher""","Afrika Subsahara"
