Dominant_Topic,Percentage_Contribution,Topic_Keywords,Project_ID,Project_Title,Project_Status,Focus_Area,Sector,Subector,Region,Topic_Category,Topic_Label
5,0.988,"0.008*""fond"" + 0.007*""unterstützen"" + 0.006*""land"" + 0.006*""finanzieren"" + 0.006*""verbessern"" + 0.006*""nachhaltig"" + 0.005*""region"" + 0.005*""fonds"" + 0.005*""sanad"" + 0.005*""lokal""",19665,Stauwehr und WKW Assiut (Inv.),aktiv,Ernährung und Landwirtschaft,"310 - Landwirtschaft, Forstwirtschaft und Fischereiwesen",31140 - Landwirtschaftliche Wasserressourcen,Nordafrika/Naher Osten,Regional Financing & Local Support,Topic 5: Regional Financing & Local Support
10,0.9874,"0.013*""energie"" + 0.009*""erneuerbar"" + 0.007*""stadt"" + 0.007*""bevölkerung"" + 0.006*""finanzieren"" + 0.006*""leisten"" + 0.006*""finanzierung"" + 0.005*""krankenhaus"" + 0.005*""investition"" + 0.005*""bau""",19900,Umweltschutzprogramm Shkodra-See,abgeschlossen,Wasser und Abfall,140 - Wasser und Abwasser-/Abfallentsorgung,"14020 - Wasser-, Sanitärver. und Abwassermanagement",Europa/Kaukasus,"Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health","Topic 10: Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health"
2,0.844,"0.008*""verbesserung"" + 0.007*""nachhaltig"" + 0.006*""national"" + 0.006*""ländlich"" + 0.006*""investition"" + 0.006*""bevölkerung"" + 0.006*""leisten"" + 0.006*""unterstützen"" + 0.005*""entwicklung"" + 0.005*""wirtschaftlich""",20226,KfW-Treuhandbeteiligung an der Mikrofinanzbank (THB),aktiv,Wirtschaft und Finanzsektor,240 - Finanzwesen,24030 - Finanzintermediäre des formellen Sektors,Asien/Ozeanien,Rural Development & National Empowerment,Topic 2: Rural Development & National Empowerment
4,0.9686,"0.007*""finanzierung"" + 0.006*""bevölkerung"" + 0.006*""unterstützen"" + 0.005*""land"" + 0.005*""unternehmen"" + 0.005*""finanzieren"" + 0.005*""wirtschaftlich"" + 0.005*""leisten"" + 0.004*""covid"" + 0.004*""nachhaltig""",20596,Programm Energieeffizienz,abgeschlossen,Umwelt und Klima,"230 - Energieerzeugung, -verteilung und -effizienz",23320 - Kohlekraftwerke,Asien/Ozeanien,Economic/ Financial Support & COVID,Topic 4: Economic/ Financial Support & COVID
4,0.9912,"0.007*""finanzierung"" + 0.006*""bevölkerung"" + 0.006*""unterstützen"" + 0.005*""land"" + 0.005*""unternehmen"" + 0.005*""finanzieren"" + 0.005*""wirtschaftlich"" + 0.005*""leisten"" + 0.004*""covid"" + 0.004*""nachhaltig""",20878,Industriekläranlagen,aktiv,Wasser und Abfall,140 - Wasser und Abwasser-/Abfallentsorgung,14022 - Sanitärversorgung und Abwassermanagement -g,Nordafrika/Naher Osten,Economic/ Financial Support & COVID,Topic 4: Economic/ Financial Support & COVID
7,0.3994,"0.009*""ländlich"" + 0.008*""bevölkerung"" + 0.007*""unterstützen"" + 0.007*""verbesserung"" + 0.006*""nachhaltig"" + 0.005*""sozial"" + 0.005*""zugang"" + 0.004*""leisten"" + 0.004*""landwirtschaftlich"" + 0.004*""deutsch""",21002,Wasser-/Abwasserprogramm Palästinensisches Gebiet,abgeschlossen,Wasser und Abfall,140 - Wasser und Abwasser-/Abfallentsorgung,"14020 - Wasser-, Sanitärver. und Abwassermanagement",Nordafrika/Naher Osten,"Rural Development, Agricultural Support, & Climate Change","Topic 7: Rural Development, Agricultural Support, & Climate Change"
10,0.6069,"0.013*""energie"" + 0.009*""erneuerbar"" + 0.007*""stadt"" + 0.007*""bevölkerung"" + 0.006*""finanzieren"" + 0.006*""leisten"" + 0.006*""finanzierung"" + 0.005*""krankenhaus"" + 0.005*""investition"" + 0.005*""bau""",21082,Programm kommunale Infrastruktur IV (IVF) (Inv.),aktiv,Wasser und Abfall,430 - Andere multisektorale Maßnahmen,43030 - Stadtentwicklung und -verwaltung,Europa/Kaukasus,"Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health","Topic 10: Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health"
10,0.9874,"0.013*""energie"" + 0.009*""erneuerbar"" + 0.007*""stadt"" + 0.007*""bevölkerung"" + 0.006*""finanzieren"" + 0.006*""leisten"" + 0.006*""finanzierung"" + 0.005*""krankenhaus"" + 0.005*""investition"" + 0.005*""bau""",21090,Städtische Wasserversorgung Sekundärstädte I (Inv.),aktiv,Wasser und Abfall,140 - Wasser und Abwasser-/Abfallentsorgung,"14030 - Trinkwasser, Sanitär u Abwasser-Grundl Vers",Afrika Subsahara,"Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health","Topic 10: Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health"
2,0.4992,"0.008*""verbesserung"" + 0.007*""nachhaltig"" + 0.006*""national"" + 0.006*""ländlich"" + 0.006*""investition"" + 0.006*""bevölkerung"" + 0.006*""leisten"" + 0.006*""unterstützen"" + 0.005*""entwicklung"" + 0.005*""wirtschaftlich""",21270,FZ-Förderbeteiligung ADVANS S.A. SICAR,aktiv,Wirtschaft und Finanzsektor,240 - Finanzwesen,24030 - Finanzintermediäre des formellen Sektors,Global,Rural Development & National Empowerment,Topic 2: Rural Development & National Empowerment
6,0.9932,"0.008*""bevölkerung"" + 0.007*""kind"" + 0.006*""lokal"" + 0.005*""infrastruktur"" + 0.005*""komponente"" + 0.004*""umsetzung"" + 0.004*""sozial"" + 0.004*""gemeinde"" + 0.004*""unterstützung"" + 0.004*""unterstützen""",21563,Unterstützung des internationalen AIDS-Bekämpfungsprogramms,abgeschlossen,Gesundheit,130 - Bevölkerungspolitik/-programme u. repd. Gesundheit,13040 - Bekämpf. von Geschlechtskrankheiten u. HIV/AIDS,Lateinamerika,"Children / Youth, Public Infrastructure, & Local Community","Topic 6: Children / Youth, Public Infrastructure, & Local Community"
6,0.9866,"0.008*""bevölkerung"" + 0.007*""kind"" + 0.006*""lokal"" + 0.005*""infrastruktur"" + 0.005*""komponente"" + 0.004*""umsetzung"" + 0.004*""sozial"" + 0.004*""gemeinde"" + 0.004*""unterstützung"" + 0.004*""unterstützen""",21596,Kommunale Umweltinvestitionen,abgeschlossen,Wasser und Abfall,430 - Andere multisektorale Maßnahmen,43030 - Stadtentwicklung und -verwaltung,Afrika Subsahara,"Children / Youth, Public Infrastructure, & Local Community","Topic 6: Children / Youth, Public Infrastructure, & Local Community"
2,0.5526,"0.008*""verbesserung"" + 0.007*""nachhaltig"" + 0.006*""national"" + 0.006*""ländlich"" + 0.006*""investition"" + 0.006*""bevölkerung"" + 0.006*""leisten"" + 0.006*""unterstützen"" + 0.005*""entwicklung"" + 0.005*""wirtschaftlich""",21622,"Umweltpolitik, Ressourcenschutz: Fischereiüberwachung V",aktiv,Umwelt und Klima,"310 - Landwirtschaft, Forstwirtschaft und Fischereiwesen",31310 - Fischereipolitik und -verwaltung,Afrika Subsahara,Rural Development & National Empowerment,Topic 2: Rural Development & National Empowerment
3,0.3318,"0.008*""zugang"" + 0.008*""verbesserung"" + 0.008*""flüchtling"" + 0.007*""gemeinde"" + 0.006*""bevölkerung"" + 0.006*""sozial"" + 0.005*""palästinensisch"" + 0.005*""bildung"" + 0.005*""kind"" + 0.005*""leisten""",21722,WV und AE Progr. Mazedonien (VP) (Inv.),aktiv,Wasser und Abfall,140 - Wasser und Abwasser-/Abfallentsorgung,"14020 - Wasser-, Sanitärver. und Abwassermanagement",Europa/Kaukasus,"Refugees, Social/Community Support & Education","Topic 3: Refugees, Social/Community Support & Education"
2,0.8192,"0.008*""verbesserung"" + 0.007*""nachhaltig"" + 0.006*""national"" + 0.006*""ländlich"" + 0.006*""investition"" + 0.006*""bevölkerung"" + 0.006*""leisten"" + 0.006*""unterstützen"" + 0.005*""entwicklung"" + 0.005*""wirtschaftlich""",21977,Gründung einer Mikrofinanzbank in der DR Kongo (Treuhandmittel),aktiv,Wirtschaft und Finanzsektor,240 - Finanzwesen,24030 - Finanzintermediäre des formellen Sektors,Afrika Subsahara,Rural Development & National Empowerment,Topic 2: Rural Development & National Empowerment
2,0.4733,"0.008*""verbesserung"" + 0.007*""nachhaltig"" + 0.006*""national"" + 0.006*""ländlich"" + 0.006*""investition"" + 0.006*""bevölkerung"" + 0.006*""leisten"" + 0.006*""unterstützen"" + 0.005*""entwicklung"" + 0.005*""wirtschaftlich""",21978,Mikrofinanzierung II (KfW-Treuhandmittel),aktiv,Wirtschaft und Finanzsektor,240 - Finanzwesen,24030 - Finanzintermediäre des formellen Sektors,Afrika Subsahara,Rural Development & National Empowerment,Topic 2: Rural Development & National Empowerment
7,0.989,"0.009*""ländlich"" + 0.008*""bevölkerung"" + 0.007*""unterstützen"" + 0.007*""verbesserung"" + 0.006*""nachhaltig"" + 0.005*""sozial"" + 0.005*""zugang"" + 0.004*""leisten"" + 0.004*""landwirtschaftlich"" + 0.004*""deutsch""",22126,Kaukasus Energieverbund I (Übertragungsleitungen Armenien-Georgien/Umspannstationen),aktiv,Energie,"230 - Energieerzeugung, -verteilung und -effizienz","23630 - Stromübertragung, -verteilung u. Speicher",Europa/Kaukasus,"Rural Development, Agricultural Support, & Climate Change","Topic 7: Rural Development, Agricultural Support, & Climate Change"
8,0.9783,"0.008*""leisten"" + 0.007*""finanzierung"" + 0.006*""entwicklung"" + 0.005*""deutsch"" + 0.004*""mef"" + 0.004*""nachhaltig"" + 0.004*""unternehmen"" + 0.004*""verbessern"" + 0.004*""wirtschaftlich"" + 0.004*""unterstützen""",22168,Mikrofinanzierungsprogramm (THB),abgeschlossen,Wirtschaft und Finanzsektor,240 - Finanzwesen,24040 - Informelle und halbformelle Finanzintermediäre,Asien/Ozeanien,Sustainable Finance & Microfinance for Private Sector,Topic 8: Sustainable Finance & Microfinance for Private Sector
6,0.989,"0.008*""bevölkerung"" + 0.007*""kind"" + 0.006*""lokal"" + 0.005*""infrastruktur"" + 0.005*""komponente"" + 0.004*""umsetzung"" + 0.004*""sozial"" + 0.004*""gemeinde"" + 0.004*""unterstützung"" + 0.004*""unterstützen""",22226,Unterstützung der Reintegration von Ex-Kombattanten und Flüchtlingen II,aktiv,Friedensentwicklung und Krisenprävention,150 - Staat und Zivilgesellschaft,"15220 - Zivile Friedensentwicklung, Krisenpräv. u. Kon",Afrika Subsahara,"Children / Youth, Public Infrastructure, & Local Community","Topic 6: Children / Youth, Public Infrastructure, & Local Community"
1,0.9917,"0.013*""kkmu"" + 0.007*""zugang"" + 0.007*""investition"" + 0.006*""unternehmen"" + 0.006*""nachhaltig"" + 0.006*""finanzierung"" + 0.005*""privat"" + 0.005*""bevölkerung"" + 0.005*""gesundheit"" + 0.005*""verbessern""",22260,"Verbundfinanzierungsvorhaben ""Investitionsfonds Abfallverwertung""",aktiv,Wasser und Abfall,140 - Wasser und Abwasser-/Abfallentsorgung,14050 - Abfallwirtschaft und -entsorgung,Nordafrika/Naher Osten,"SME Investment, Financial Services, & Health","Topic 1: SME Investment, Financial Services, & Health"
3,0.5888,"0.008*""zugang"" + 0.008*""verbesserung"" + 0.008*""flüchtling"" + 0.007*""gemeinde"" + 0.006*""bevölkerung"" + 0.006*""sozial"" + 0.005*""palästinensisch"" + 0.005*""bildung"" + 0.005*""kind"" + 0.005*""leisten""",22262,FZ-Förderkredit für den Emerging Africa Infrastructure Fund (EAIF),abgeschlossen,Energie,240 - Finanzwesen,24030 - Finanzintermediäre des formellen Sektors,Afrika Subsahara,"Refugees, Social/Community Support & Education","Topic 3: Refugees, Social/Community Support & Education"
4,0.749,"0.007*""finanzierung"" + 0.006*""bevölkerung"" + 0.006*""unterstützen"" + 0.005*""land"" + 0.005*""unternehmen"" + 0.005*""finanzieren"" + 0.005*""wirtschaftlich"" + 0.005*""leisten"" + 0.004*""covid"" + 0.004*""nachhaltig""",22267,Trinkwasserversorgung II,aktiv,Wasser und Abfall,140 - Wasser und Abwasser-/Abfallentsorgung,14021 - Wasserversorgung - große Systeme,Nordafrika/Naher Osten,Economic/ Financial Support & COVID,Topic 4: Economic/ Financial Support & COVID
5,0.6652,"0.008*""fond"" + 0.007*""unterstützen"" + 0.006*""land"" + 0.006*""finanzieren"" + 0.006*""verbessern"" + 0.006*""nachhaltig"" + 0.005*""region"" + 0.005*""fonds"" + 0.005*""sanad"" + 0.005*""lokal""",22280,Ländliche Entw. in Gebieten mit besonderem Förderungsbedarf,abgeschlossen,Sonstige,430 - Andere multisektorale Maßnahmen,43010 - Multisektorale Hilfe,Afrika Subsahara,Regional Financing & Local Support,Topic 5: Regional Financing & Local Support
1,0.7105,"0.013*""kkmu"" + 0.007*""zugang"" + 0.007*""investition"" + 0.006*""unternehmen"" + 0.006*""nachhaltig"" + 0.006*""finanzierung"" + 0.005*""privat"" + 0.005*""bevölkerung"" + 0.005*""gesundheit"" + 0.005*""verbessern""",22357,Bewässerungsprogramm Wasser und Klimawandel,aktiv,Ernährung und Landwirtschaft,"310 - Landwirtschaft, Forstwirtschaft und Fischereiwesen",31140 - Landwirtschaftliche Wasserressourcen,Lateinamerika,"SME Investment, Financial Services, & Health","Topic 1: SME Investment, Financial Services, & Health"
11,0.9927,"0.010*""nachhaltig"" + 0.008*""bevölkerung"" + 0.007*""verbesserung"" + 0.006*""lokal"" + 0.006*""national"" + 0.005*""schutz"" + 0.005*""ressource"" + 0.005*""unterstützen"" + 0.005*""natürlich"" + 0.005*""leisten""",22679,TCX Lokalwährungsfonds (ehem. CAPCO),aktiv,Wirtschaft und Finanzsektor,240 - Finanzwesen,24030 - Finanzintermediäre des formellen Sektors,Global,Natural Resource & Biodiversity Protection,Topic 11: Natural Resource & Biodiversity Protection
11,0.7935,"0.010*""nachhaltig"" + 0.008*""bevölkerung"" + 0.007*""verbesserung"" + 0.006*""lokal"" + 0.006*""national"" + 0.005*""schutz"" + 0.005*""ressource"" + 0.005*""unterstützen"" + 0.005*""natürlich"" + 0.005*""leisten""",22711,Investitionsfonds Nationalparks Madagaskar II (MNP II),abgeschlossen,Umwelt und Klima,410 - Umweltschutz allgemein,41030 - Biodiversität,Afrika Subsahara,Natural Resource & Biodiversity Protection,Topic 11: Natural Resource & Biodiversity Protection
10,0.9918,"0.013*""energie"" + 0.009*""erneuerbar"" + 0.007*""stadt"" + 0.007*""bevölkerung"" + 0.006*""finanzieren"" + 0.006*""leisten"" + 0.006*""finanzierung"" + 0.005*""krankenhaus"" + 0.005*""investition"" + 0.005*""bau""",22891,Klima- und Energieprogramm China (IVF),abgeschlossen,Umwelt und Klima,410 - Umweltschutz allgemein,41020 - Schutz der Biosphäre,Asien/Ozeanien,"Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health","Topic 10: Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health"
1,0.9825,"0.013*""kkmu"" + 0.007*""zugang"" + 0.007*""investition"" + 0.006*""unternehmen"" + 0.006*""nachhaltig"" + 0.006*""finanzierung"" + 0.005*""privat"" + 0.005*""bevölkerung"" + 0.005*""gesundheit"" + 0.005*""verbessern""",22910,"Schwerpunktprogramm Gesundheit ""Komponente Mutter-Kind-Versorgung und Notfallmedizin"", Phase II - Investition-",aktiv,Gesundheit,120 - Gesundheitswesen,12230 - Infrastruktur im Bereich Basisgesundheit,Asien/Ozeanien,"SME Investment, Financial Services, & Health","Topic 1: SME Investment, Financial Services, & Health"
7,0.6889,"0.009*""ländlich"" + 0.008*""bevölkerung"" + 0.007*""unterstützen"" + 0.007*""verbesserung"" + 0.006*""nachhaltig"" + 0.005*""sozial"" + 0.005*""zugang"" + 0.004*""leisten"" + 0.004*""landwirtschaftlich"" + 0.004*""deutsch""",22941,Programm Stadtentwicklung 2008,aktiv,Sonstige,430 - Andere multisektorale Maßnahmen,43030 - Stadtentwicklung und -verwaltung,Asien/Ozeanien,"Rural Development, Agricultural Support, & Climate Change","Topic 7: Rural Development, Agricultural Support, & Climate Change"
4,0.9747,"0.007*""finanzierung"" + 0.006*""bevölkerung"" + 0.006*""unterstützen"" + 0.005*""land"" + 0.005*""unternehmen"" + 0.005*""finanzieren"" + 0.005*""wirtschaftlich"" + 0.005*""leisten"" + 0.004*""covid"" + 0.004*""nachhaltig""",22948,Abwasser- und Abfallentsorgung in Provinzstädten 2008,aktiv,Wasser und Abfall,140 - Wasser und Abwasser-/Abfallentsorgung,"14020 - Wasser-, Sanitärver. und Abwassermanagement",Asien/Ozeanien,Economic/ Financial Support & COVID,Topic 4: Economic/ Financial Support & COVID
2,0.6638,"0.008*""verbesserung"" + 0.007*""nachhaltig"" + 0.006*""national"" + 0.006*""ländlich"" + 0.006*""investition"" + 0.006*""bevölkerung"" + 0.006*""leisten"" + 0.006*""unterstützen"" + 0.005*""entwicklung"" + 0.005*""wirtschaftlich""",23006,Überregionale Fazilität Erneuerbare Energien und Energieeffizienz SOE,aktiv,Energie,"230 - Energieerzeugung, -verteilung und -effizienz","23210 - Energieerzeugung, erneuerbare Quellen",Europa/Kaukasus,Rural Development & National Empowerment,Topic 2: Rural Development & National Empowerment
9,0.5295,"0.013*""flüchtling"" + 0.011*""bevölkerung"" + 0.008*""nachhaltig"" + 0.007*""syrisch"" + 0.007*""verbessern"" + 0.006*""verbesserung"" + 0.005*""unterstützen"" + 0.005*""infrastruktur"" + 0.004*""lokal"" + 0.004*""finanzieren""",23013,Programm zur Unterstützung der Sektorstrategie städtische Wasserver- und Sanitärversorgung (Korbfinanzierung),aktiv,Wasser und Abfall,140 - Wasser und Abwasser-/Abfallentsorgung,"14020 - Wasser-, Sanitärver. und Abwassermanagement",Afrika Subsahara,Infrastructural and Humanitarian Support & Syrian Refugees,Topic 9: Infrastructural and Humanitarian Support & Syrian Refugees
3,0.752,"0.008*""zugang"" + 0.008*""verbesserung"" + 0.008*""flüchtling"" + 0.007*""gemeinde"" + 0.006*""bevölkerung"" + 0.006*""sozial"" + 0.005*""palästinensisch"" + 0.005*""bildung"" + 0.005*""kind"" + 0.005*""leisten""",23023,Wasserkraft und Dammsicherheit Mat-Drin-Kaskade,aktiv,Energie,"230 - Energieerzeugung, -verteilung und -effizienz",23220 - Wasserkraftwerke,Europa/Kaukasus,"Refugees, Social/Community Support & Education","Topic 3: Refugees, Social/Community Support & Education"
10,0.9843,"0.013*""energie"" + 0.009*""erneuerbar"" + 0.007*""stadt"" + 0.007*""bevölkerung"" + 0.006*""finanzieren"" + 0.006*""leisten"" + 0.006*""finanzierung"" + 0.005*""krankenhaus"" + 0.005*""investition"" + 0.005*""bau""",23087,Regenerative Energien / Energieeffizienz,abgeschlossen,Energie,"230 - Energieerzeugung, -verteilung und -effizienz","23210 - Energieerzeugung, erneuerbare Quellen",Lateinamerika,"Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health","Topic 10: Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health"
8,0.4174,"0.008*""leisten"" + 0.007*""finanzierung"" + 0.006*""entwicklung"" + 0.005*""deutsch"" + 0.004*""mef"" + 0.004*""nachhaltig"" + 0.004*""unternehmen"" + 0.004*""verbessern"" + 0.004*""wirtschaftlich"" + 0.004*""unterstützen""",23090,Erneuerbare Energien und Energieeffizienz,aktiv,Energie,"230 - Energieerzeugung, -verteilung und -effizienz","23210 - Energieerzeugung, erneuerbare Quellen",Lateinamerika,Sustainable Finance & Microfinance for Private Sector,Topic 8: Sustainable Finance & Microfinance for Private Sector
10,0.8856,"0.013*""energie"" + 0.009*""erneuerbar"" + 0.007*""stadt"" + 0.007*""bevölkerung"" + 0.006*""finanzieren"" + 0.006*""leisten"" + 0.006*""finanzierung"" + 0.005*""krankenhaus"" + 0.005*""investition"" + 0.005*""bau""",23122,Programm Energieeffizienz,aktiv,Energie,"230 - Energieerzeugung, -verteilung und -effizienz",23183 - Energieeffizienz (nachfrageseitig),Nordafrika/Naher Osten,"Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health","Topic 10: Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health"
2,0.9774,"0.008*""verbesserung"" + 0.007*""nachhaltig"" + 0.006*""national"" + 0.006*""ländlich"" + 0.006*""investition"" + 0.006*""bevölkerung"" + 0.006*""leisten"" + 0.006*""unterstützen"" + 0.005*""entwicklung"" + 0.005*""wirtschaftlich""",23138,"Unterstützung des nationalen Abwasserprogramms, Phase II",aktiv,Wasser und Abfall,140 - Wasser und Abwasser-/Abfallentsorgung,"14030 - Trinkwasser, Sanitär u Abwasser-Grundl Vers",Nordafrika/Naher Osten,Rural Development & National Empowerment,Topic 2: Rural Development & National Empowerment
11,0.9888,"0.010*""nachhaltig"" + 0.008*""bevölkerung"" + 0.007*""verbesserung"" + 0.006*""lokal"" + 0.006*""national"" + 0.005*""schutz"" + 0.005*""ressource"" + 0.005*""unterstützen"" + 0.005*""natürlich"" + 0.005*""leisten""",23173,Nachhaltige Naturschutzfinanzierung Amazonasbecken (OTCA),aktiv,Umwelt und Klima,410 - Umweltschutz allgemein,41030 - Biodiversität,Lateinamerika,Natural Resource & Biodiversity Protection,Topic 11: Natural Resource & Biodiversity Protection
1,0.9913,"0.013*""kkmu"" + 0.007*""zugang"" + 0.007*""investition"" + 0.006*""unternehmen"" + 0.006*""nachhaltig"" + 0.006*""finanzierung"" + 0.005*""privat"" + 0.005*""bevölkerung"" + 0.005*""gesundheit"" + 0.005*""verbessern""",23527,Investitionsfonds Abfallverwertung Zuschuss (Investitionszuschuss),aktiv,Wasser und Abfall,140 - Wasser und Abwasser-/Abfallentsorgung,14050 - Abfallwirtschaft und -entsorgung,Nordafrika/Naher Osten,"SME Investment, Financial Services, & Health","Topic 1: SME Investment, Financial Services, & Health"
